stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0170_B,,ラッパ森,,42.3176007,140.9941301,,,,,,
0171_A,,御前水,,42.3228718,140.9966659,,,,,,
0171_B,,御前水,,42.3222528,140.996941,,,,,,
0172_A,,御崎アパート前,,42.3255885,140.9963491,,,,,,
0172_B,,御崎アパート前,,42.3255946,140.9965303,,,,,,
0173_A,,御崎駅前,,42.3295439,140.9938054,,,,,,
0173_B,,御崎駅前,,42.329086,140.9943443,,,,,,
0174_A,,鉄原前,,42.3344185,140.9926646,,,,,,
0174_B,,鉄原前,,42.3338119,140.9922839,,,,,,
0175_A,,トヨタ前,,42.335059,140.9963915,,,,,,
0175_B,,トヨタ前,,42.3349945,140.99622,,,,,,
0176_A,,大沢1丁目,,42.3340963,141.00083,,,,,,
0176_B,,大沢1丁目,,42.3341558,141.0000201,,,,,,
0177_A,,輪西駅前,,42.3340803,141.0075085,,,,,,
0177_B,,輪西駅前,,42.3337333,141.0070548,,,,,,
0178_A,,新日鉄住金前,,42.3351907,141.0098156,,,,,,
0178_B,,新日鉄住金前,,42.3344799,141.0090587,,,,,,
0179_A,,輪西九条通,,42.3367172,141.0124684,,,,,,
0179_B,,輪西九条通,,42.3361216,141.0118449,,,,,,
0181_A,,新日鉄住金球場前,,42.3398991,141.0159066,,,,,,
0181_B,,新日鉄住金球場前,,42.3390348,141.0153852,,,,,,
0182_A,,末広,,42.3423262,141.0233175,,,,,,
0182_B,,末広,,42.3421389,141.0232626,,,,,,
0183_A,,潮見公園入口,,42.3351758,141.0201621,,,,,,
0183_B,,潮見公園入口,,42.3351601,141.0198531,,,,,,
0184_A,,室蘭市民会館前,,42.3337204,141.0122167,,,,,,
0184_B,,室蘭市民会館前,,42.333787,141.0120073,,,,,,
0185_A,,弥生ショッピングセンター,,42.3439343,141.0207608,,,,,,
0185_B,,弥生ショッピングセンター,,42.3440302,141.0204921,,,,,,
0186_A,,高平通入口,,42.358571,141.002064,,,,,,
0187_A,,本輪西3丁目,,42.3640517,140.9817697,,,,,,
0187_B,,本輪西3丁目,,42.3652142,140.981974,,,,,,
0188_A,,本輪西4丁目,,42.3696256,140.983719,,,,,,
0188_B,,本輪西4丁目,,42.3698309,140.9839992,,,,,,
0189_A,,大学会館前,,42.3786912,141.0346622,,,,,,
0192_A,,東町5丁目,,42.3359822,141.0223475,,,,,,
0192_B,,東町5丁目,,42.3367434,141.022624,,,,,,
0193_A,,工業団地,,42.3380167,141.0244002,,,,,,
0193_B,,工業団地,,42.337398,141.0236874,,,,,,
0194_B,,東町4丁目,,42.3396865,141.0277698,,,,,,
0200_A,,室蘭警察署前,,42.3410749,141.0282019,,,,,,
0200_B,,室蘭警察署前,,42.3419103,141.0278053,,,,,,
0201_A,,汐見,,42.3435588,141.0268767,,,,,,
0201_B,,汐見,,42.3425781,141.0254904,,,,,,
0201_E,,汐見,,42.3442844,141.0250336,,,,,,
0211_B,,東町ターミナル1・2,,42.3445032,141.0296731,,,,,,
0211_C,,東町ターミナル3・4,,42.3444649,141.0297299,,,,,,
0211_D,,東町ターミナル3・4,,42.3444649,141.0297299,,,,,,
0211_E,,東町ターミナル5,,42.3443543,141.0300853,,,,,,
0211_F,,東町ターミナル6,,42.3442743,141.0300941,,,,,,
0211_G,,東町ターミナル6,,42.3442743,141.0300941,,,,,,
0221_A,,東町中央,,42.3463809,141.0279726,,,,,,
0221_C,,東町中央,,42.3463809,141.0279726,,,,,,
0221_B,,東町中央,,42.3463826,141.0281527,,,,,,
0221_D,,東町中央,,42.3463826,141.0281527,,,,,,
0231_A,,東町2丁目,,42.3456687,141.0260252,,,,,,
0231_B,,東町2丁目,,42.3459095,141.0262877,,,,,,
0231_C,,東町2丁目,,42.3446309,141.0250502,,,,,,
0241_A,,太平橋,,42.349013,141.01732,,,,,,
0241_B,,太平橋,,42.3489848,141.0194583,,,,,,
0241_C,,太平橋,,42.3493922,141.0200892,,,,,,
0241_D,,太平橋,,42.349364,141.0202384,,,,,,
0251_A,,中島町4丁目,,42.347968,141.020261,,,,,,
0251_B,,中島町4丁目,,42.348016,141.0206048,,,,,,
0261_A,,東室蘭駅西口1,,42.349466,141.0247499,,,,,,
0261_C,,東室蘭駅西口1,,42.349466,141.0247499,,,,,,
0261_B,,東室蘭駅西口2,,42.3497478,141.0242072,,,,,,
0262_B,,東室蘭駅東口2,,42.3487352,141.0261102,,,,,,
0262_E,,東室蘭駅東口2,,42.3487352,141.0261102,,,,,,
0271_A,,体育館前,,42.3520782,141.0270809,,,,,,
0271_B,,体育館前,,42.351946,141.0272884,,,,,,
0281_A,,大川原病院前,,42.3479756,141.0298001,,,,,,
0281_B,,大川原病院前,,42.3480386,141.0301788,,,,,,
0282_A,,寿町1丁目,,42.3501048,141.0318719,,,,,,
0282_B,,寿町1丁目,,42.3499048,141.0323984,,,,,,
0291_A,,宮の森4丁目,,42.3533757,141.0291664,,,,,,
0291_B,,宮の森4丁目,,42.3533253,141.0294432,,,,,,
0291_C,,宮の森4丁目,,42.3542541,141.0273045,,,,,,
0291_D,,宮の森4丁目,,42.3534033,141.0284946,,,,,,
0301_A,,宮の森3丁目,,42.3550718,141.0319659,,,,,,
0301_B,,宮の森3丁目,,42.3543937,141.0312144,,,,,,
0302_A,,高砂1丁目,,42.3570081,141.0351755,,,,,,
0302_B,,高砂1丁目,,42.3565845,141.0348411,,,,,,
0303_A,,緑ヶ丘,,42.3582757,141.0372824,,,,,,
0303_B,,緑ヶ丘,,42.3577828,141.0368277,,,,,,
0304_A,,JRアパート前,,42.3600823,141.040258,,,,,,
0304_B,,JRアパート前,,42.3592344,141.0392318,,,,,,
0311_A,,中島公園前,,42.3551951,141.026308,,,,,,
0311_B,,中島公園前,,42.3551584,141.0265521,,,,,,
0321_A,,工業高校前,,42.355752,141.0264722,,,,,,
0321_B,,工業高校前,,42.3557377,141.0267102,,,,,,
0322_A,,高砂公園前,,42.3583656,141.0308026,,,,,,
0322_B,,高砂公園前,,42.3583451,141.0309714,,,,,,
0323_A,,高砂2丁目,,42.3608229,141.0348071,,,,,,
0323_B,,高砂2丁目,,42.3608229,141.035086,,,,,,
0331_A,,寿町3丁目,,42.3475743,141.0337441,,,,,,
0331_B,,寿町3丁目,,42.3474172,141.0339982,,,,,,
0332_A,,寿町2丁目,,42.3493492,141.0368675,,,,,,
0332_B,,寿町2丁目,,42.3489786,141.0366941,,,,,,
0333_A,,日の出町1丁目,,42.3512594,141.0405392,,,,,,
0333_B,,日の出町1丁目,,42.3508321,141.0401471,,,,,,
0334_A,,日の出町2丁目,,42.3522353,141.0427936,,,,,,
0334_B,,日の出町2丁目,,42.3524721,141.0438536,,,,,,
0341_A,,鷲別,,42.3565375,141.0498005,,,,,,
0341_B,,鷲別,,42.3560023,141.0496208,,,,,,
0341_C,,鷲別,,42.3559132,141.0475588,,,,,,
0341_D,,鷲別,,42.3557416,141.0474515,,,,,,
0351_A,,鷲別駅前,,42.3579025,141.0447356,,,,,,
0351_B,,鷲別駅前,,42.3581041,141.0448092,,,,,,
0361_A,,高砂小学校前,,42.361276,141.040848,,,,,,
0361_B,,高砂小学校前,,42.3615742,141.0407719,,,,,,
0371_A,,高砂局前,,42.3637922,141.0380941,,,,,,
0371_B,,高砂局前,,42.3637263,141.0384093,,,,,,
0381_A,,高砂3丁目,,42.3657649,141.0363137,,,,,,
0381_B,,高砂3丁目,,42.3658838,141.0365498,,,,,,
0382_A,,高砂4丁目,,42.3679943,141.0360705,,,,,,
0382_B,,高砂4丁目,,42.3673972,141.0363432,,,,,,
0383_A,,東翔高校前,,42.3700983,141.0358175,,,,,,
0383_B,,東翔高校前,,42.3693838,141.0361522,,,,,,
0384_A,,高砂5丁目,,42.3735065,141.0354107,,,,,,
0384_B,,高砂5丁目,,42.3731417,141.0356618,,,,,,
0391_A,,工大,,42.376631,141.033755,,,,,,
0391_B,,工大,,42.3759794,141.035129,,,,,,
0401_A,,工大研修所前,,42.3806945,141.0345511,,,,,,
0402_A,,室蘭ろう学校前,,42.3845255,141.0334817,,,,,,
0403_A,,水元団地中央,,42.379199,141.0315708,,,,,,
0404_A,,うぐいす台団地入口,,42.3833765,141.0310771,,,,,,
0411_A,,鷲別中学校前,,42.3588271,141.0519999,,,,,,
0411_B,,鷲別中学校前,,42.357954,141.0514648,,,,,,
0412_A,,鷲別小学校前,,42.362543,141.0556024,,,,,,
0412_B,,鷲別小学校前,,42.3615882,141.0549893,,,,,,
0413_A,,東鷲別,,42.3638461,141.0568812,,,,,,
0413_B,,東鷲別,,42.3634804,141.0568175,,,,,,
0414_A,,はまなす団地,,42.3671495,141.0600472,,,,,,
0414_B,,はまなす団地,,42.367343,141.0605568,,,,,,
0415_A,,栄町4丁目,,42.3733597,141.0659901,,,,,,
0415_B,,栄町4丁目,,42.3731596,141.0661457,,,,,,
0416_A,,西富岸,,42.377866,141.0703717,,,,,,
0416_B,,西富岸,,42.3763107,141.0691984,,,,,,
0421_A,,富岸,,42.3822281,141.0745867,,,,,,
0421_B,,富岸,,42.3811677,141.0738829,,,,,,
0422_A,,道路事務所前,,42.3847027,141.0769952,,,,,,
0422_B,,道路事務所前,,42.3842374,141.0768678,,,,,,
0423_A,,あかしや団地,,42.391625,141.0848042,,,,,,
0423_B,,あかしや団地,,42.3897413,141.0828244,,,,,,
0424_A,,自衛隊入口,,42.402542,141.0984844,,,,,,
0424_B,,自衛隊入口,,42.4022213,141.0986589,,,,,,
0425_A,,幌別本町,,42.4093138,141.1082857,,,,,,
0425_B,,幌別本町,,42.4094333,141.1087498,,,,,,
0431_A,,上鷲別入口,,42.362093,141.043538,,,,,,
0431_B,,上鷲別入口,,42.3613701,141.0428505,,,,,,
0441_A,,旭ヶ丘団地,,42.3638723,141.0464861,,,,,,
0441_B,,旭ヶ丘団地,,42.3639934,141.0471688,,,,,,
0451_A,,若草小学校前,,42.3656721,141.0502202,,,,,,
0451_B,,若草小学校前,,42.3653411,141.0501022,,,,,,
0452_A,,若草1丁目,,42.3672191,141.0519269,,,,,,
0452_B,,若草1丁目,,42.3670165,141.052043,,,,,,
0453_A,,若草２丁目,,42.3707471,141.0564857,,,,,,
0453_B,,若草２丁目,,42.3698467,141.0556075,,,,,,
0454_A,,公園入口,,42.3722811,141.0586348,,,,,,
0454_B,,公園入口,,42.3727349,141.059595,,,,,,
0461_A,,若草入口,,42.3660981,141.0488869,,,,,,
0461_B,,若草入口,,42.3658315,141.0488967,,,,,,
0462_A,,若草中央,,42.3692892,141.0508707,,,,,,
0462_B,,若草中央,,42.3697082,141.0513918,,,,,,
0463_A,,緑ヶ丘団地,,42.3718521,141.0538714,,,,,,
0463_B,,緑ヶ丘団地,,42.37146,141.0535151,,,,,,
0464_A,,若草4丁目,,42.3736556,141.0568383,,,,,,
0464_B,,若草4丁目,,42.3731549,141.0562346,,,,,,
0465_A,,千代の台団地,,42.3751179,141.059378,,,,,,
0465_B,,千代の台団地,,42.3748512,141.0592262,,,,,,
0466_A,,若草3丁目,,42.3676529,141.0498106,,,,,,
0466_B,,若草3丁目,,42.3680522,141.0501749,,,,,,
0467_A,,新生町3丁目,,42.3765632,141.0608078,,,,,,
0467_B,,新生町3丁目,,42.3766833,141.061066,,,,,,
0468_A,,新生町4丁目,,42.382959,141.0650545,,,,,,
0468_B,,新生町4丁目,,42.3827813,141.0650273,,,,,,
0471_A,,新生町1丁目,,42.3756458,141.0631479,,,,,,
0471_B,,新生町1丁目,,42.3757243,141.0635226,,,,,,
0472_A,,新生町2丁目,,42.3794323,141.065728,,,,,,
0472_B,,新生町2丁目,,42.3793878,141.0659688,,,,,,
0473_A,,新生町5丁目,,42.3801238,141.0630094,,,,,,
0473_B,,新生町5丁目,,42.3794933,141.0629092,,,,,,
0474_A,,富岸小学校前,,42.3838777,141.0697616,,,,,,
0474_B,,富岸小学校前,,42.3836372,141.0698961,,,,,,
0475_A,,富岸2丁目,,42.3820265,141.0674757,,,,,,
0475_B,,富岸2丁目,,42.3820227,141.0677889,,,,,,
0476_A,,亀田公園入口,,42.3828457,141.0633269,,,,,,
0476_B,,亀田公園入口,,42.3824823,141.0634007,,,,,,
0481_A,,汐平団地,,42.3831254,141.07274,,,,,,
0481_B,,汐平団地,,42.3829993,141.0729579,,,,,,
0491_A,,若山町3丁目,,42.3859472,141.0723162,,,,,,
0491_B,,若山町3丁目,,42.3857132,141.072559,,,,,,
0501_A,,若山営業所前,,42.3905126,141.0765591,,,,,,
0501_B,,若山営業所前,,42.3902853,141.0767518,,,,,,
0502_A,,総合体育館前,,42.3922813,141.0782788,,,,,,
0502_B,,総合体育館前,,42.3926054,141.0803669,,,,,,
0503_A,,若山町1丁目,,42.3938273,141.0857602,,,,,,
0503_B,,若山町1丁目,,42.3937744,141.086129,,,,,,
0504_A,,桜木団地,,42.4047549,141.0882114,,,,,,
0504_B,,桜木団地,,42.4043392,141.0880625,,,,,,
0505_A,,桜木中央,,42.4039666,141.0916118,,,,,,
0505_B,,桜木中央,,42.40372,141.0917426,,,,,,
0506_A,,緑町2丁目,,42.4023102,141.0941348,,,,,,
0506_B,,緑町2丁目,,42.4021181,141.0941235,,,,,,
0507_A,,桜木町1丁目,,42.4037036,141.0964865,,,,,,
0507_B,,桜木町1丁目,,42.404306,141.0974373,,,,,,
0508_A,,新川町1丁目,,42.4066337,141.0999575,,,,,,
0508_B,,新川町1丁目,,42.4066906,141.100268,,,,,,
0511_A,,幌別中央,,42.4099865,141.1039059,,,,,,
0511_B,,幌別中央,,42.4091546,141.1031631,,,,,,
0521_A,,幌別駅西口1,,42.4095249,141.1060775,,,,,,
0521_B,,幌別駅西口2,,42.4095138,141.1065937,,,,,,
0531_A,,幌別小学校前,,42.413108,141.1077693,,,,,,
0531_B,,幌別小学校前,,42.4125684,141.1072101,,,,,,
0541_A,,労働福祉センター前,,42.4164224,141.111298,,,,,,
0541_B,,労働福祉センター前,,42.4165165,141.1116223,,,,,,
0542_A,,千歳町4丁目,,42.4200095,141.1156261,,,,,,
0542_B,,千歳町4丁目,,42.4197749,141.115539,,,,,,
0551_A,,千歳町6丁目,,42.4219858,141.1159887,,,,,,
0551_B,,千歳町6丁目,,42.422136,141.1159241,,,,,,
0552_A,,千歳寮,,42.4239824,141.1131525,,,,,,
0552_B,,千歳寮,,42.4239012,141.1134127,,,,,,
0570_A,,岡志別公園前,,42.4248284,141.1176971,,,,,,
0570_B,,岡志別公園前,,42.4248325,141.1186462,,,,,,
0571_A,,市民プール前,,42.4228167,141.1253393,,,,,,
0581_A,,中央町5丁目,,42.411669,141.1044376,,,,,,
0581_B,,中央町5丁目,,42.4118189,141.1044822,,,,,,
0601_A,,社宅十字街,,42.4115093,141.1013027,,,,,,
0601_B,,社宅十字街,,42.4116591,141.101325,,,,,,
0620_A,,石川町げんき館前,,42.380986,140.9170866,,,,,,
0621_A,,幌別ホームストアー前,,42.4131241,141.0960231,,,,,,
0621_B,,幌別ホームストアー前,,42.4132311,141.096226,,,,,,
0622_A,,登別市民会館前,,42.4137977,141.0938385,,,,,,
0622_B,,登別市民会館前,,42.4139928,141.0937592,,,,,,
0641_A,,西小学校前,,42.4162522,141.0892392,,,,,,
0641_B,,西小学校前,,42.4155732,141.0902828,,,,,,
0642_A,,明日中等前,,42.4179826,141.0870926,,,,,,
0642_B,,明日中等前,,42.4176115,141.0877939,,,,,,
0643_A,,資料館前,,42.4209455,141.0816421,,,,,,
0643_B,,資料館前,,42.4210703,141.0817359,,,,,,
0647_A,,しんた21前,,42.4190024,141.0858707,,,,,,
0647_B,,しんた21前,,42.4194118,141.0856185,,,,,,
0651_A,,中島町2丁目,,42.3508975,141.0203403,,,,,,
0651_B,,中島町2丁目,,42.3508599,141.0204714,,,,,,
0661_A,,中島町3丁目,,42.3517621,141.0216624,,,,,,
0661_B,,中島町3丁目,,42.3522151,141.0214085,,,,,,
0661_D,,中島町3丁目,,42.3522151,141.0214085,,,,,,
0661_E,,中島町3丁目,,42.3527066,141.0214655,,,,,,
0681_A,,東通1,,42.355436,141.0184714,,,,,,
0681_B,,東通2,,42.3553294,141.0187487,,,,,,
0681_C,,東通3,,42.3540667,141.0191069,,,,,,
0681_D,,東通4,,42.3543626,141.0190667,,,,,,
0682_A,,製鉄記念室蘭病院,,42.3563998,141.0165671,,,,,,
0691_A,,知利別1丁目,,42.357911,141.0208891,,,,,,
0691_B,,知利別1丁目,,42.3565459,141.0202676,,,,,,
0711_A,,知利別2丁目,,42.3612233,141.0230634,,,,,,
0711_B,,知利別2丁目,,42.3606224,141.0228803,,,,,,
0721_A,,知利別郵便局前,,42.3643925,141.0251338,,,,,,
0721_B,,知利別郵便局前,,42.3638524,141.0250531,,,,,,
0722_A,,知利別会館前,,42.36634,141.0264018,,,,,,
0722_B,,知利別会館前,,42.3662692,141.0265628,,,,,,
0723_A,,天神町,,42.3694299,141.026897,,,,,,
0723_B,,天神町,,42.36954,141.0271001,,,,,,
0724_A,,清滝不動尊前,,42.371656,141.0288533,,,,,,
0724_B,,清滝不動尊前,,42.3714889,141.0289474,,,,,,
0725_A,,変電所前,,42.3735963,141.0308345,,,,,,
0725_B,,変電所前,,42.374059,141.031413,,,,,,
0726_A,,水元団地,,42.3762155,141.0321126,,,,,,
0726_B,,水元団地,,42.3759905,141.032227,,,,,,
0730_A,,中島町1丁目,,42.3544229,141.0168758,,,,,,
0730_B,,中島町1丁目,,42.3534512,141.01568,,,,,,
0731_A,,仲通1,,42.3530902,141.014695,,,,,,
0731_B,,仲通2,,42.351892,141.0131047,,,,,,
0731_C,,仲通3,,42.3534074,141.0137603,,,,,,
0731_D,,仲通4,,42.3536965,141.0136387,,,,,,
0741_A,,八丁平入口,,42.3617624,141.0103043,,,,,,
0741_B,,八丁平入口,,42.3618972,141.0104384,,,,,,
0742_A,,八丁平中央,,42.3668022,141.0092207,,,,,,
0742_B,,八丁平中央,,42.366174,141.0098778,,,,,,
0752_A,,南公園前,,42.3644537,141.0069119,,,,,,
0752_B,,南公園前,,42.3645012,141.0067992,,,,,,
0753_A,,八丁平5丁目,,42.3576091,141.006541,,,,,,
0754_A,,八丁平1丁目,,42.3618924,141.0048539,,,,,,
0754_B,,八丁平1丁目,,42.361956,141.0047578,,,,,,
0755_A,,展望台入口,,42.3602245,141.0033761,,,,,,
0756_A,,ケアーハウス前,,42.3565547,141.003933,,,,,,
0761_A,,1号公園入口,,42.3690396,141.0103636,,,,,,
0761_B,,1号公園入口,,42.368996,141.0105245,,,,,,
